bundle,type,count,error
scenario/scenario_battle002.unity3d,AssetBundle,1,
scenario/scenario_battle002.unity3d,Mesh,1,
scenario/scenario_battle002.unity3d,LightProbes,1,
scenario/scenario_battle002.unity3d,RenderSettings,1,
scenario/scenario_battle002.unity3d,SkinnedMeshRenderer,1,
scenario/scenario_battle002.unity3d,LightmapSettings,1,
scenario/scenario_battle002.unity3d,NavMeshSettings,1,
scenario/scenario_battle002.unity3d,LightProbeGroup,1,
scenario/scenario_battle002.unity3d,Canvas,1,
scenario/scenario_battle002.unity3d,LightingSettings,1,
scenario/scenario_cave-in-ni01101.unity3d,AnimationClip,809,
scenario/scenario_cave-in-ni01101.unity3d,GameObject,553,
scenario/scenario_cave-in-ni01101.unity3d,Transform,530,
scenario/scenario_cave-in-ni01101.unity3d,MonoBehaviour,490,
scenario/scenario_cave-in-ni01101.unity3d,ParticleSystem,202,
scenario/scenario_cave-in-ni01101.unity3d,ParticleSystemRenderer,202,
scenario/scenario_cave-in-ni01101.unity3d,MeshRenderer,135,
scenario/scenario_cave-in-ni01101.unity3d,MeshFilter,135,
scenario/scenario_cave-in-ni01101.unity3d,Material,85,
scenario/scenario_cave-in-ni01101.unity3d,Animator,77,
scenario/scenario_cave-in-ni01101.unity3d,MonoScript,62,
scenario/scenario_cave-in-ni01101.unity3d,RectTransform,23,
scenario/scenario_cave-in-ni01101.unity3d,SpriteRenderer,18,
scenario/scenario_cave-in-ni01101.unity3d,CanvasRenderer,12,
scenario/scenario_cave-in-ni01101.unity3d,PlayableDirector,11,
scenario/scenario_cave-in-ni01101.unity3d,AnimatorController,8,
scenario/scenario_cave-in-ni01101.unity3d,TextAsset,6,
scenario/scenario_cave-in-ni01101.unity3d,BoxCollider,6,
scenario/scenario_cave-in-ni01101.unity3d,Light,4,
scenario/scenario_cave-in-ni01101.unity3d,Texture2D,3,
scenario/scenario_cave-in-ni01101.unity3d,Sprite,3,
scenario/scenario_cave-in-ni01101.unity3d,Camera,2,
scenario/scenario_cave-in-ni01101.unity3d,CanvasGroup,2,
scenario/scenario_cave-in-ni01101.unity3d,PreloadData,1,
scenario/scenario_cave-in-ni01101.unity3d,AssetBundle,1,
scenario/scenario_cave-in-ni01101.unity3d,AnimatorOverrideController,1,
scenario/scenario_cave-in-ni01101.unity3d,RenderSettings,1,
scenario/scenario_cave-in-ni01101.unity3d,LightmapSettings,1,
scenario/scenario_cave-in-ni01101.unity3d,NavMeshSettings,1,
scenario/scenario_cave-in-ni01101.unity3d,Canvas,1,
scenario/scenario_cave-in-ni01101.unity3d,LightingSettings,1,
scenario/scenario_cave-spcl-co00101.unity3d,AnimationClip,725,
scenario/scenario_cave-spcl-co00101.unity3d,MonoBehaviour,350,
scenario/scenario_cave-spcl-co00101.unity3d,GameObject,151,
scenario/scenario_cave-spcl-co00101.unity3d,Transform,114,
scenario/scenario_cave-spcl-co00101.unity3d,MonoScript,79,
scenario/scenario_cave-spcl-co00101.unity3d,RectTransform,37,
scenario/scenario_cave-spcl-co00101.unity3d,Animator,21,
scenario/scenario_cave-spcl-co00101.unity3d,CanvasRenderer,19,
scenario/scenario_cave-spcl-co00101.unity3d,SpriteRenderer,13,
scenario/scenario_cave-spcl-co00101.unity3d,MeshRenderer,12,
scenario/scenario_cave-spcl-co00101.unity3d,MeshFilter,12,
scenario/scenario_cave-spcl-co00101.unity3d,CanvasGroup,12,
scenario/scenario_cave-spcl-co00101.unity3d,AnimatorController,10,
scenario/scenario_cave-spcl-co00101.unity3d,Material,5,
scenario/scenario_cave-spcl-co00101.unity3d,PlayableDirector,5,
scenario/scenario_cave-spcl-co00101.unity3d,TextAsset,4,
scenario/scenario_cave-spcl-co00101.unity3d,BoxCollider,4,
scenario/scenario_cave-spcl-co00101.unity3d,Camera,2,
scenario/scenario_cave-spcl-co00101.unity3d,PreloadData,1,
scenario/scenario_cave-spcl-co00101.unity3d,AssetBundle,1,
scenario/scenario_cave-spcl-co00101.unity3d,Sprite,1,
scenario/scenario_cave-spcl-co00101.unity3d,RenderSettings,1,
